execucao_id,cenario,familia_intencionada,classe,ids,n_alertas,n_corretos,n_errados,familias_detectadas,rotulo,familia_prevista
campanha02-benigno-scan-benigno-r04,benigno-scan,scan,benigno,snort,0,0,0,-,TN,-
campanha02-benigno-scan-benigno-r04,benigno-scan,scan,benigno,zeek,3,0,1,flood-icmp;nao-mapeado,FP,flood-icmp
campanha02-idor-path-traversal-malicioso-r02,idor-path-traversal,path-traversal,malicioso,suricata,988,0,788,dos-http;flood-syn;nao-mapeado,ERRO_CLASSIF,dos-http
campanha02-idor-path-traversal-malicioso-r02,idor-path-traversal,path-traversal,malicioso,snort,1107,0,1107,dos-http;flood-syn,ERRO_CLASSIF,dos-http
campanha02-idor-path-traversal-malicioso-r02,idor-path-traversal,path-traversal,malicioso,zeek,1070,598,0,nao-mapeado;path-traversal,TP,path-traversal
campanha02-icmp-flood-malicioso-r08,icmp-flood,flood-icmp,malicioso,suricata,20107,4,20103,flood-icmp;scan,TP,flood-icmp
campanha02-icmp-flood-malicioso-r08,icmp-flood,flood-icmp,malicioso,snort,14984,7482,7502,flood-icmp;scan,TP,flood-icmp
campanha02-icmp-flood-malicioso-r08,icmp-flood,flood-icmp,malicioso,zeek,0,0,0,-,FN_PURO,NENHUM
campanha02-benigno-mix-benigno-r11,benigno-mix,mix,benigno,suricata,0,0,0,-,TN,-
campanha02-benigno-mix-benigno-r11,benigno-mix,mix,benigno,snort,0,0,0,-,TN,-
campanha02-benigno-mix-benigno-r11,benigno-mix,mix,benigno,zeek,0,0,0,-,TN,-
campanha02-sql-injection-malicioso-r13,sql-injection,sqli,malicioso,suricata,1379,2,1377,dos-http;sqli;xss,TP,sqli
campanha02-sql-injection-malicioso-r13,sql-injection,sqli,malicioso,snort,2,0,2,xss,ERRO_CLASSIF,xss
campanha02-sql-injection-malicioso-r13,sql-injection,sqli,malicioso,zeek,5,2,3,sqli;xss,TP,sqli
campanha02-benigno-ssh-benigno-r04,benigno-ssh,ssh,benigno,suricata,0,0,0,-,TN,-
campanha02-benigno-ssh-benigno-r04,benigno-ssh,ssh,benigno,snort,0,0,0,-,TN,-
campanha02-benigno-ssh-benigno-r04,benigno-ssh,ssh,benigno,zeek,0,0,0,-,TN,-
campanha02-benigno-dns-benigno-r10,benigno-dns,dns,benigno,suricata,0,0,0,-,TN,-
campanha02-benigno-dns-benigno-r10,benigno-dns,dns,benigno,snort,0,0,0,-,TN,-
